name,l,b,Vlos,Vlos_err,ref_velocity,D_mod,D_mod_err,ref_Distance
KKs 55,308.9295073,19.7823151,550,23.7,Muller2021A&A...645A..92M,27.93,0.04,Tully2009AJ....138..323T
KKs 57,312.6935194,19.3363517,511.3,16.8,Muller2021A&A...645A..92M,27.92,0.25,Tully2009AJ....138..323T
KKs 58,315.0599164,25.2548492,476.5,5.2,Muller2021A&A...645A..92M,27.63,0.01,Muller2019A&A...629A..18M
KKs 59,311.4071227,8.5879731,686,1,Kirby2012MNRAS.420.2924K,27.78,,Karachentsev2013AJ....145..101K
LV J0055-2310,134.6830703,-85.9588486,249.6,5,Westmeier2017MNRAS.472.4832W,27.79,0.11,Karachentsev2021AJ....161..205K
LV J0616-5745,266.5541509,-27.2908817,554,4,Warren2006AJ....131.2056W,28.92,,
LV J1149+1715,244.1390427,72.5421674,623,29,Karachentsev2013AJ....145..101K,28.84,,Karachentsev2013AJ....145..101K
LV J1157+5638,137.2332018,58.9788451,416.3,1.4,Makarova2018MNRAS.474.3221M,29.82,0.09,Makarova2018MNRAS.474.3221M
LV J1158+1535,253.5308683,73.1728196,565,2,Karachentsev2013AJ....145..101K,28.5,,Karachentsev2013AJ....145..101K
LV J1228+4358,136.6559686,72.5502017,225.8,16,Toloba2016ApJ...824...35T,28.05,,MartinezDelgado2012ApJ...748L..24M
LV J1243+4127,128.5996938,75.5884134,402,2,Huchtmeier2009A&A...506..677H,28.41,0.11,Karachentsev2018ApJ...858...62K
LV J1313+1003,321.13806,72.1302144,472,24,Karachentsev2013AJ....145..101K,27.89,,Karachentsev2013AJ....145..101K
d0944+71,140.1814379,38.7681598,-38.3,9.8,Toloba2016ApJ...830L..21T,27.63,0.06,Chiboucas2013AJ....146..126C
HS 117,138.1368694,41.2961035,47,,Huchtmeier1998A&AS..127..269H,27.99,0.04,Tully2009AJ....138..323T
UGC 5497,146.2244222,45.1873191,150,50,Chiboucas2009AJ....137.3009C,27.83,0.06,Chiboucas2013AJ....146..126C
Clump I,142.3465248,41.2345641,-165,18,Karachentsev2011MNRAS.415L..31K,27.79,,
Clump III,142.1704285,41.5112616,121,20,Karachentsev2011MNRAS.415L..31K,27.79,,
MAPS 1231+42,137.1170191,74.4707662,563.1,17,Kovac2009MNRAS.400..743K,29.55,,Tikhonov2022AstBu..77..388T
MAPS 1249+44,124.0889171,72.7639436,513.3,17,Kovac2009MNRAS.400..743K,29.4,,Karachentsev2013AJ....145..101K
MCG+06-27-017,163.7527346,77.1950564,325,1,Karachentsev2024A&A...684L..24K,28.43,0.13,Tully2009AJ....138..323T
MCG+09-20-131,135.3345688,63.8735663,159,1.7,Begum2008MNRAS.386.1667B,28.32,0.09,Tully2009AJ....138..323T
MCG-04-31-038,307.9022508,35.555561,683.9,18,Doyle2005MNRAS.361...34D,29.71,0.16,Tully2009AJ....138..323T
MKT J125225.4-124304.1,303.3069819,50.1532522,402,,deBlok2024A&A...688A.109D,27.3,,Karachentsev2013AJ....145..101K
NGC 24,43.689538,-80.4343285,553,2,Makarov2014A&A...570A..13M,29.32,0.02,Tully2009AJ....138..323T
NGC 45,55.9017737,-80.6716468,466,2,Makarov2014A&A...570A..13M,29.11,0.08,Tully2009AJ....138..323T
NGC 59,65.7125445,-80.0214982,361,2,Huchtmeier2000A&AS..141..469H,28.45,0.03,Tully2009AJ....138..323T
NGC 247,113.9472508,-83.5570724,153,5,Westmeier2017MNRAS.472.4832W,27.85,0.02,Jacobs2009AJ....138..332J
NGC 404,127.0344755,-27.0107384,-49,9,Huchra1999ApJS..121..287H,27.37,0.02,Tully2009AJ....138..323T
NGC 625,273.6742173,-73.1206314,395.4,18,Doyle2005MNRAS.361...34D,28.02,0.03,Tully2009AJ....138..323T
dw0132+1422,137.8566989,-47.2898651,669,10,Haynes2011AJ....142..170H,29.95,,
dw0134+1438,138.3480387,-46.9288088,731,16,Haynes2011AJ....142..170H,29.95,,
dw0136p1628,138.255621,-45.061686,550,60,Karachentsev2025MNRAS.537L..21K,29.88,0.18,Carlsten2022ApJ...933...47C
dw0138+1458,139.3523164,-46.3996348,743,1,Haynes2011AJ....142..170H,29.68,0.2,Carlsten2022ApJ...933...47C
NGC 628-dwA,138.8718866,-45.8148361,497,50,Karachentsev2025MNRAS.537L..21K,30.03,0.39,Carlsten2022ApJ...933...47C
KDG010,140.9370754,-45.3465896,789,1,Haynes2011AJ....142..170H,29.68,0.16,Carlsten2022ApJ...933...47C
NGC 784,140.9013989,-31.5794341,193,1,Haynes2011AJ....142..170H,28.65,0.02,Tully2009AJ....138..323T
NGC 891,140.3825631,-17.4168669,526,7,StaveleySmith1987MNRAS.224..953S,29.99,0.07,Tully2009AJ....138..323T
[TT2009] 25,140.1333129,-17.489694,692,58,Karachentsev2015Ap.....58..309K,30.06,0.23,Muller2019A&A...629L...2M
NGC 1042,182.0765987,-58.1683843,1371,1,Makarov2014A&A...570A..13M,31.25,0.89,Makarov2014A&A...570A..13M
NGC1311,265.2906667,-52.6578382,571,3,Makarov2014A&A...570A..13M,28.72,0.02,Tully2009AJ....138..323T
NGC 1313,283.3588913,-44.6443093,470,18,Doyle2005MNRAS.361...34D,28.17,0.03,Tully2009AJ....138..323T
NGC 1560,138.3682126,16.0217303,-36.3,1,Broeils1992A&A...256...19B,27.38,0.14,Tully2009AJ....138..323T
NGC 1569,143.6820835,11.2417793,-85.6,2.6,Walter2008AJ....136.2563W,27.52,0.06,Tully2009AJ....138..323T
NGC 1592,226.5314783,-41.9150962,942,5,Makarov2014A&A...570A..13M,29.8,,Karachentsev2013AJ....145..101K
NGC 1705,261.0788541,-38.7428325,628,9,Meurer1992AJ....103...60M,28.79,0.04,Tully2009AJ....138..323T
NGC 1792,241.6930762,-36.4542697,1210,4,Makarov2014A&A...570A..13M,30.1,0.26,Makarov2014A&A...570A..13M
NGC 1800,234.4409382,-35.1233646,814,18,Doyle2005MNRAS.361...34D,29.52,,Karachentsev2013AJ....145..101K
NGC 1827,240.6347363,-35.3460331,1038,3,Makarov2014A&A...570A..13M,30.2,0.4,Makarov2014A&A...570A..13M
NGC 2188,240.8369999,-22.8111869,743,13,Makarov2014A&A...570A..13M,29.62,0.06,Tully2009AJ....138..323T
NGC 2366,146.421892,28.5350587,100.1,,Walter2008AJ....136.2563W,27.58,0.03,Tully2009AJ....138..323T
NGC 2683,190.4601947,38.758504,411,4,Springob2005ApJS..160..149S,29.96,0.06,Tully2009AJ....138..323T
NGC 2683-dw1,190.6368181,38.8967587,380,25,Karachentsev2015Ap.....58..309K,30.1,0.22,Carlsten2022ApJ...933...47C
NGC 2903-HI-1,208.2678631,44.2730738,582,4,Irwin2009ApJ...692.1447I,29.67,0.22,Carlsten2022ApJ...933...47C
NGC 2915,291.9661328,-18.3573325,467.2,18,Doyle2005MNRAS.361...34D,28.16,0.03,Tully2009AJ....138..323T
NGC2976,143.9173791,40.9041679,6,4,Appleton1981MNRAS.195..327A,27.82,0.05,Tully2009AJ....138..323T
NGC 3077,141.8972594,41.6621797,19,3,Appleton1981MNRAS.195..327A,27.93,0.07,Tully2009AJ....138..323T
KKSG 17,247.5238866,35.7656189,446,3,Makarov2014A&A...570A..13M,29.99,,Anand2021AJ....162...80A
KKSG 18,248.1203627,36.6862046,715,5,Makarov2014A&A...570A..13M,29.93,,
MCG -01-26-009,245.9120466,36.8999295,747,6,Makarov2014A&A...570A..13M,29.93,,
NGC 3351,233.9516692,56.3678649,777,1,Haynes2011AJ....142..170H,29.99,0.03,Tully2009AJ....138..323T
NGC 3377,231.1772036,58.317717,678,6,Smith2000MNRAS.313..469S,30.09,0.02,Tully2009AJ....138..323T
dw1044p1356,230.5563265,57.6356289,633,31,Karachentsev2013AJ....145..101K,30.23,0.19,Carlsten2022ApJ...933...47C
dw1048p1407,231.2186605,58.6373115,541.4,22.5,Karachentsev2013AJ....145..101K,30.51,0.39,Carlsten2022ApJ...933...47C
dw1051p1406,231.8427053,59.1870578,832,53,Karachentsev2013AJ....145..101K,30.27,,
dw1052p1102,237.0243596,57.7261339,827,8,Makarov2014A&A...570A..13M,30.27,,
FS04,232.5299715,56.2887264,772,1,Makarov2014A&A...570A..13M,30.27,,
KK94,232.6181112,57.6654814,832,4,Makarov2014A&A...570A..13M,30.04,0.07,Cohen2018ApJ...868...96C
LeG05,231.5572553,55.9598734,780,3,Stierwalt2009AJ....138..338S,30.27,,
LeG13,233.8586115,56.6875592,871,3,Stierwalt2009AJ....138..338S,30,0.13,Carlsten2022ApJ...933...47C
LeG14,232.5139429,57.4960987,886,60,Makarov2014A&A...570A..13M,30,0.09,Cohen2018ApJ...868...96C
LeG17,233.6260342,57.2632458,1030,2,Stierwalt2009AJ....138..338S,29.64,0.2,Carlsten2022ApJ...933...47C
LeG21,232.6937362,57.6579785,843,1,Stierwalt2009AJ....138..338S,30.31,0.2,Carlsten2022ApJ...933...47C
